"scenario","particle_id","rep","arm","n_hcw_deaths","hcw_days_lost","counterfactual_hcw","prevented_hcw","baseline_days_lost","obv_efficacy","obv_coverage"
"DRC",41,9,"cov10_obv50",15,2300.38814631897,15,0,2300.38814631897,0.5,0.1
"DRC",41,10,"cov10_obv50",33,17586.049727426,33,0,17816.9462149466,0.5,0.1
"DRC",42,1,"cov10_obv50",3,357.258274147728,3,0,357.258274147728,0.5,0.1
"DRC",42,2,"cov10_obv50",10,4146.00486009905,10,0,4146.00486009905,0.5,0.1
"DRC",42,3,"cov10_obv50",60,22113.912661377,63,3,23015.9939356321,0.5,0.1
"DRC",42,4,"cov10_obv50",154,39926.3756401394,162,8,42663.6773348788,0.5,0.1
"DRC",42,5,"cov10_obv50",9,2046.8070808936,9,0,2046.8070808936,0.5,0.1
"DRC",42,6,"cov10_obv50",30,11330.7386801246,30,0,11475.9865892536,0.5,0.1
"DRC",42,7,"cov10_obv50",30,11330.7386801246,30,0,11475.9865892536,0.5,0.1
"DRC",42,8,"cov10_obv50",30,11330.7386801246,30,0,11475.9865892536,0.5,0.1
"DRC",42,9,"cov10_obv50",64,55749.021388584,66,2,57357.5007352231,0.5,0.1
"DRC",42,10,"cov10_obv50",64,55749.021388584,66,2,57357.5007352231,0.5,0.1
"DRC",43,1,"cov10_obv50",27,6122.76960810473,29,2,6629.86665841211,0.5,0.1
"DRC",44,1,"cov10_obv50",21,4846.80823807078,22,1,4884.47019682302,0.5,0.1
"DRC",45,1,"cov10_obv50",91,65449.8937836391,97,6,69031.8267622008,0.5,0.1
"DRC",45,2,"cov10_obv50",216,49511.3952302283,225,9,51788.1151008829,0.5,0.1
"DRC",45,3,"cov10_obv50",10,1229.56887459893,11,1,1343.96924585342,0.5,0.1
"DRC",45,4,"cov10_obv50",26,8905.86927411432,28,2,9504.27769673673,0.5,0.1
"DRC",45,5,"cov10_obv50",41,15988.449389101,44,3,17516.3465595985,0.5,0.1
"DRC",45,6,"cov10_obv50",85,98329.1233455123,90,5,103054.616598849,0.5,0.1
"DRC",45,7,"cov10_obv50",8,2701.31559146942,8,0,2790.77752406227,0.5,0.1
"DRC",45,8,"cov10_obv50",51,20566.4937870866,54,3,21255.4432346112,0.5,0.1
"DRC",45,9,"cov10_obv50",51,20566.4937870866,54,3,21255.4432346112,0.5,0.1
"DRC",45,10,"cov10_obv50",17,4017.99296264398,17,0,4124.36330194155,0.5,0.1
"DRC",46,1,"cov10_obv50",200,126132.637293387,216,16,134205.701702989,0.5,0.1
"DRC",46,2,"cov10_obv50",231,54934.5413077387,238,7,56584.0251564712,0.5,0.1
"DRC",46,3,"cov10_obv50",91,33831.824791308,94,3,35229.3977207626,0.5,0.1
"DRC",46,4,"cov10_obv50",226,47719.3777810428,238,12,50353.3372928448,0.5,0.1
"DRC",46,5,"cov10_obv50",5,327.980676956476,6,1,445.335486404714,0.5,0.1
"DRC",46,6,"cov10_obv50",171,144495.987541289,183,12,152584.326198877,0.5,0.1
"DRC",46,7,"cov10_obv50",70,32173.0475511037,71,1,32999.7866851032,0.5,0.1
"DRC",46,8,"cov10_obv50",136,80847.288353236,141,5,83338.4213981142,0.5,0.1
"DRC",46,9,"cov10_obv50",219,141372.618470861,237,18,151255.308338682,0.5,0.1
"DRC",46,10,"cov10_obv50",219,141372.618470861,237,18,151255.308338682,0.5,0.1
"DRC",47,1,"cov10_obv50",5,791.663604753483,6,1,879.792307797905,0.5,0.1
"DRC",48,1,"cov10_obv50",14,2397.06110564883,14,0,2397.06110564883,0.5,0.1
"DRC",49,1,"cov10_obv50",58,19164.9648605972,59,1,19893.1728801063,0.5,0.1
"DRC",49,2,"cov10_obv50",74,54178.0908650893,77,3,55895.0209039642,0.5,0.1
"DRC",49,3,"cov10_obv50",3,1058.00382492351,7,4,1458.88304233812,0.5,0.1
