"scenario","particle_id","rep","arm","n_eligible","n_received","pct_received","dpc_mean","dpc_median","dpc_min","dpc_max"
"DRC",20,2,"with_conflict_mid",26,17,65.3846153846154,1.36835475940166,1.46260084285489,1,1.64246343535008
"DRC",21,1,"with_conflict_mid",21,11,52.3809523809524,1,1,1,1
"DRC",21,2,"with_conflict_mid",247,102,41.2955465587045,2.96527575156777,2.8267401090803,1,9.98665160079769
"DRC",21,3,"with_conflict_mid",367,69,18.8010899182561,5.25631468522354,5.53515269726713,1,9.94892054200075
"DRC",21,4,"with_conflict_mid",384,87,22.65625,5.45661493897343,5.64307573505289,1,9.99556970751046
"DRC",21,5,"with_conflict_mid",21,6,28.5714285714286,1.60839225400931,1.86613359373979,1,1.95904316828814
"DRC",21,6,"with_conflict_mid",128,55,42.96875,2.68110454213366,1,1,7.73148898191035
"DRC",21,7,"with_conflict_mid",58,32,55.1724137931034,2.99981186651446,1,1,6.30022097590253
"DRC",21,8,"with_conflict_mid",70,42,60,2.34733795029345,1.62164813677632,1,6.48716014112899
"DRC",21,9,"with_conflict_mid",25,10,40,1.39431991602491,1.39431991602491,1.39431991602491,1.39431991602491
"DRC",21,10,"with_conflict_mid",182,111,60.989010989011,3.16938385429061,2.77428695312134,1,9.39308786760661
"DRC",22,1,"with_conflict_mid",299,59,19.7324414715719,6.83907616788716,8.92126927774654,1.29474351096507,9.98905319659516
"DRC",22,2,"with_conflict_mid",299,59,19.7324414715719,6.83907616788716,8.92126927774654,1.29474351096507,9.98905319659516
"DRC",23,1,"with_conflict_mid",41,15,36.5853658536585,1,1,1,1
"DRC",23,2,"with_conflict_mid",374,117,31.283422459893,4.60560397536535,3.17010793899298,1,9.81146859877499
"DRC",23,3,"with_conflict_mid",30,12,40,1.27405358026772,1,1,2.09621432107088
"DRC",23,4,"with_conflict_mid",64,40,62.5,2.23963741382746,1.63359061860056,1,5.6591933506312
"DRC",23,5,"with_conflict_mid",141,62,43.9716312056738,3.42104484113327,2.311690210734,1,8.20586864504362
"DRC",23,6,"with_conflict_mid",449,223,49.6659242761693,3.58638826683567,2.77428695312134,1,9.99646867199675
"DRC",23,7,"with_conflict_mid",401,150,37.4064837905237,4.10254102866426,3.10133545647681,1,9.94089343181461
"DRC",23,8,"with_conflict_mid",22,8,36.3636363636364,NA,NA,NA,NA
"DRC",24,1,"with_conflict_mid",298,67,22.4832214765101,6.89038958665511,8.47934856836079,1,9.63999282655069
"DRC",24,2,"with_conflict_mid",99,33,33.3333333333333,1.80272694487827,1.69068799285952,1,2.77428695312134
"DRC",25,1,"with_conflict_mid",256,104,40.625,3.56897442823734,2.77428695312134,1,9.89432581299971
"DRC",25,2,"with_conflict_mid",255,118,46.2745098039216,3.08868573157983,2.77428695312134,1,9.55692555319945
"DRC",25,3,"with_conflict_mid",15,10,66.6666666666667,1.28005567619078,1.28005567619078,1,1.56011135238156
"DRC",25,4,"with_conflict_mid",11,6,54.5454545454545,NA,NA,NA,NA
"DRC",25,5,"with_conflict_mid",30,18,60,2.29240369758618,2.29240369758618,1,3.58480739517236
"DRC",25,6,"with_conflict_mid",22,8,36.3636363636364,1,1,1,1
"DRC",25,7,"with_conflict_mid",61,34,55.7377049180328,1.67344989111303,1.6883595711563,1,3.43539257622013
"DRC",25,8,"with_conflict_mid",19,5,26.3157894736842,3.6647156179709,3.6647156179709,1,6.32943123594179
"DRC",25,9,"with_conflict_mid",28,11,39.2857142857143,NA,NA,NA,NA
"DRC",25,10,"with_conflict_mid",21,9,42.8571428571429,1.71465921405731,1.71465921405731,1,2.42931842811462
"DRC",26,1,"with_conflict_mid",40,19,47.5,2.10866803804391,1,1,4.32600411413172
"DRC",26,2,"with_conflict_mid",56,25,44.6428571428571,1.95716294079038,1,1,4.22519626487441
"DRC",27,1,"with_conflict_mid",310,47,15.1612903225806,7.08295333368056,9.48056461656637,1.77032682932941,9.97383440222177
"DRC",27,2,"with_conflict_mid",13,5,38.4615384615385,NA,NA,NA,NA
"DRC",27,3,"with_conflict_mid",226,73,32.3008849557522,4.27389279871009,3.01831749739485,1,9.94181918727899
"DRC",27,4,"with_conflict_mid",9,2,22.2222222222222,NA,NA,NA,NA
