"scenario","particle_id","rep","eff_name","efficacy","doses_B","n_prevented_hcw"
"DRC",45,1,"obv_20",0.2,63,20
"DRC",45,2,"obv_20",0.2,415,89
"DRC",45,3,"obv_20",0.2,346,68
"DRC",45,4,"obv_20",0.2,71,15
"DRC",45,5,"obv_20",0.2,232,47
"DRC",45,6,"obv_20",0.2,47,5
"DRC",45,7,"obv_20",0.2,3,1
"DRC",45,8,"obv_20",0.2,390,81
"DRC",45,9,"obv_20",0.2,138,22
"DRC",45,10,"obv_20",0.2,59,15
"DRC",46,1,"obv_20",0.2,63,20
"DRC",46,2,"obv_20",0.2,51,7
"DRC",46,3,"obv_20",0.2,119,32
"DRC",46,4,"obv_20",0.2,417,91
"DRC",46,5,"obv_20",0.2,28,8
"DRC",46,6,"obv_20",0.2,20,3
"DRC",46,7,"obv_20",0.2,52,13
"DRC",46,8,"obv_20",0.2,339,70
"DRC",46,9,"obv_20",0.2,35,13
"DRC",46,10,"obv_20",0.2,55,10
"DRC",47,1,"obv_20",0.2,3,0
"DRC",47,2,"obv_20",0.2,108,23
"DRC",47,3,"obv_20",0.2,264,56
"DRC",47,4,"obv_20",0.2,264,56
"DRC",47,5,"obv_20",0.2,327,54
"DRC",47,6,"obv_20",0.2,5,2
"DRC",47,7,"obv_20",0.2,77,18
"DRC",47,8,"obv_20",0.2,286,62
"DRC",47,9,"obv_20",0.2,343,75
"DRC",47,10,"obv_20",0.2,287,46
"DRC",48,1,"obv_20",0.2,62,6
"DRC",48,2,"obv_20",0.2,333,67
"DRC",48,3,"obv_20",0.2,359,76
"DRC",48,4,"obv_20",0.2,11,2
"DRC",48,5,"obv_20",0.2,55,14
"DRC",48,6,"obv_20",0.2,25,7
"DRC",48,7,"obv_20",0.2,121,26
"DRC",48,8,"obv_20",0.2,52,13
"DRC",48,9,"obv_20",0.2,59,4
"DRC",48,10,"obv_20",0.2,141,23
"DRC",49,1,"obv_20",0.2,17,6
"DRC",49,2,"obv_20",0.2,32,6
"DRC",49,3,"obv_20",0.2,3,0
"DRC",49,4,"obv_20",0.2,337,73
"DRC",49,5,"obv_20",0.2,7,1
"DRC",49,6,"obv_20",0.2,2,0
"DRC",49,7,"obv_20",0.2,58,11
"DRC",49,8,"obv_20",0.2,49,9
"DRC",49,9,"obv_20",0.2,48,14
"DRC",49,10,"obv_20",0.2,279,54
"DRC",50,1,"obv_20",0.2,390,75
"DRC",50,2,"obv_20",0.2,190,36
"DRC",50,3,"obv_20",0.2,190,36
"DRC",50,4,"obv_20",0.2,384,88
"DRC",50,5,"obv_20",0.2,37,7
"DRC",50,6,"obv_20",0.2,86,19
"DRC",50,7,"obv_20",0.2,180,31
"DRC",50,8,"obv_20",0.2,156,31
"DRC",50,9,"obv_20",0.2,76,16
"DRC",50,10,"obv_20",0.2,186,44
"DRC",51,1,"obv_20",0.2,350,60
"DRC",51,2,"obv_20",0.2,332,69
"DRC",51,3,"obv_20",0.2,301,50
"DRC",51,4,"obv_20",0.2,317,61
"DRC",51,5,"obv_20",0.2,167,32
"DRC",51,6,"obv_20",0.2,9,2
"DRC",51,7,"obv_20",0.2,62,15
