"scenario","policy","dpc","supply_ratio","pct_averted_med","pct_averted_lo","pct_averted_hi"
"DRC","B",5,2.65,52.5105209510515,48.9523680908108,53.3076527718103
"DRC","B",5,2.7,52.6418851469517,49.3341165654281,53.3076527718103
"DRC","B",5,2.75,52.8307585205742,49.6139258344825,53.3076527718103
"DRC","B",5,2.8,52.9464128057171,50.0699339088083,53.3076527718103
"DRC","B",5,2.85,53.0229412502031,50.3783812979059,53.3076527718103
"DRC","B",5,2.9,53.2223006724319,50.7113002829081,53.3076527718103
"DRC","B",5,2.95,53.2500513659255,51.1090184326053,53.3076527718103
"DRC","B",5,3,53.3076527718103,51.3599402017996,53.3076527718103
"DRC","B",5,3.05,53.3076527718103,51.6476904258173,53.3076527718103
"DRC","B",5,3.1,53.3076527718103,51.9040297887777,53.3076527718103
"DRC","B",5,3.15,53.3076527718103,52.120501133379,53.3076527718103
"DRC","B",5,3.2,53.3076527718103,52.3369724779804,53.3076527718103
"DRC","B",5,3.25,53.3076527718103,52.5795202007818,53.3076527718103
"DRC","B",5,3.3,53.3076527718103,52.7502128123016,53.3076527718103
"DRC","B",5,3.35,53.3076527718103,52.8422167832993,53.3076527718103
"DRC","B",5,3.4,53.3076527718103,52.9461388873041,53.3076527718103
"DRC","B",5,3.45,53.3076527718103,53.1130272816188,53.3076527718103
"DRC","B",5,3.5,53.3076527718103,53.1979435117073,53.3076527718103
"WestAfrica","A",0,0,1.92466644081936,1.1435670257054,2.63438939058742
"WestAfrica","A",0,0.05,2.17922723758147,1.34929640417446,2.87574656266453
"WestAfrica","A",0,0.1,3.62601269063496,2.47073432110224,4.8863790934634
"WestAfrica","A",0,0.15,5.32406991182791,3.67003219972688,6.8063087701613
"WestAfrica","A",0,0.2,7.0009844764147,4.85786950640836,9.06658594367053
"WestAfrica","A",0,0.25,8.60467871058614,6.08651356864178,11.1685824947307
"WestAfrica","A",0,0.3,10.2794072501099,7.16488697913282,13.3105405583224
"WestAfrica","A",0,0.35,11.8198517790072,8.25479898934118,15.4134563321251
"WestAfrica","A",0,0.4,13.4215619604812,9.44899149473433,17.3255632490462
"WestAfrica","A",0,0.45,14.8268701248047,10.6508734331684,19.3320718780578
"WestAfrica","A",0,0.5,16.2453510774117,11.8072503028476,21.2415106328981
"WestAfrica","A",0,0.55,17.8439069652098,13.0106496622432,23.13233111303
"WestAfrica","A",0,0.6,19.3609202841022,14.1196501249704,25.0022277246561
"WestAfrica","A",0,0.65,20.6620571713588,15.1954591395286,26.8413766546004
"WestAfrica","A",0,0.7,22.0257020447446,16.2722665723479,28.6722728923985
"WestAfrica","A",0,0.75,23.438543166462,17.3018332162044,30.4757148216684
"WestAfrica","A",0,0.8,24.7890462280503,18.4053640617847,32.1029107392589
"WestAfrica","A",0,0.85,26.0147320843083,19.4373472557768,33.7898377352615
"WestAfrica","A",0,0.9,27.3889588890774,20.4695941443532,35.5729436020546
"WestAfrica","A",0,0.95,28.7462927202104,21.5251097062522,37.3365950309014
"WestAfrica","A",0,1,29.9779047266865,22.5646881255731,39.1300044420161
"WestAfrica","A",0,1.05,31.2890682412096,23.5611856678112,40.5871118427253
"WestAfrica","A",0,1.1,32.5721322476348,24.4456325527802,41.9232956514187
"WestAfrica","A",0,1.15,33.7833008509323,25.5179323901431,43.4956025112438
"WestAfrica","A",0,1.2,34.9186767752185,26.4559614328673,45.019809175602
"WestAfrica","A",0,1.25,36.0847430790714,27.3250463210463,46.5317069014097
"WestAfrica","A",0,1.3,37.3024279328238,28.1601911852397,48.0514265716727
"WestAfrica","A",0,1.35,38.3059908101534,29.1260982037405,49.55157613791
"WestAfrica","A",0,1.4,39.3987389043659,30.0315882979839,51.0179460365887
"WestAfrica","A",0,1.45,40.4007274659576,30.8759259900757,52.547434200606
"WestAfrica","A",0,1.5,41.3466848783279,31.6823295901132,54.0818122705174
"WestAfrica","A",0,1.55,42.3386081253467,32.5996572245822,55.4720279328224
"WestAfrica","A",0,1.6,43.4352630821183,33.4882019497347,56.8503976970546
