"scenario","particle_id","arm","pct_hcw_deaths_averted","pct_days_lost_averted","n_hcw_deaths","condition"
"DRC",73,"with_conflict_mid",37.9746835443038,30.6143854450713,14.7,"baseline"
"DRC",74,"with_conflict_hi",24.8820754716981,34.4854598305493,63.7,"baseline"
"DRC",74,"with_conflict_lo",20.855614973262,22.7833270919086,118.4,"baseline"
"DRC",74,"with_conflict_mid",24.3174061433447,29.7092590297331,88.7,"baseline"
"DRC",75,"with_conflict_hi",35.4788069073783,35.5970408623026,41.1,"baseline"
"DRC",75,"with_conflict_lo",23.9190432382705,22.6269244794678,82.7,"baseline"
"DRC",75,"with_conflict_mid",35.981308411215,30.8083695786662,13.7,"baseline"
"DRC",76,"with_conflict_hi",25.7692307692308,24.9082740408559,38.6,"baseline"
"DRC",76,"with_conflict_lo",30.7692307692308,31.8400222700126,22.5,"baseline"
"DRC",76,"with_conflict_mid",24.6105919003115,28.801159366309,48.4,"baseline"
"DRC",77,"with_conflict_hi",33.3333333333333,36.3830846515605,19.8,"baseline"
"DRC",77,"with_conflict_lo",20.6601466992665,21.8184253331314,64.9,"baseline"
"DRC",77,"with_conflict_mid",26.7484662576687,29.9893438063198,59.7,"baseline"
"DRC",78,"with_conflict_hi",29.9290780141844,30.7695920709168,49.4,"baseline"
"DRC",78,"with_conflict_lo",17.87109375,21.0605912676338,84.1,"baseline"
"DRC",78,"with_conflict_mid",23.961661341853,31.6312352956425,71.4,"baseline"
"DRC",79,"with_conflict_hi",26.6155531215772,27.8319436878879,67,"baseline"
"DRC",79,"with_conflict_lo",18.8612099644128,27.1694901487241,68.4,"baseline"
"DRC",79,"with_conflict_mid",33.0555555555556,33.953824840982,24.1,"baseline"
"DRC",80,"with_conflict_hi",30.8270676691729,31.0286112988293,36.8,"baseline"
"DRC",80,"with_conflict_lo",17.8640776699029,20.4743825293321,42.3,"baseline"
"DRC",80,"with_conflict_mid",26.984126984127,28.2001038138446,46,"baseline"
"DRC",81,"with_conflict_hi",23.3243967828418,27.4719630919043,57.2,"baseline"
"DRC",81,"with_conflict_lo",19.8675496688742,21.2722774491552,48.4,"baseline"
"DRC",81,"with_conflict_mid",25.8252427184466,31.1843870238902,38.2,"baseline"
"DRC",82,"with_conflict_hi",26.7062314540059,32.6426522216732,24.7,"baseline"
"DRC",82,"with_conflict_lo",16.8965517241379,20.6032670673425,48.2,"baseline"
"DRC",82,"with_conflict_mid",30.8900523560209,33.6404435216352,39.6,"baseline"
"DRC",83,"with_conflict_hi",33.147113594041,36.3730608382484,71.8,"baseline"
"DRC",83,"with_conflict_lo",23.1028667790894,26.7655044261893,91.2,"baseline"
"DRC",83,"with_conflict_mid",34.9112426035503,37.4774373288978,33,"baseline"
"DRC",84,"with_conflict_hi",23.3704292527822,24.4805598247869,48.2,"baseline"
"DRC",84,"with_conflict_lo",23.3595800524934,27.1285065896174,58.4,"baseline"
"DRC",84,"with_conflict_mid",27.2291466922339,26.7508978315599,75.9,"baseline"
"DRC",85,"with_conflict_hi",29.8568507157464,36.7655173300271,34.3,"baseline"
"DRC",85,"with_conflict_lo",29.6774193548387,28.7714463746561,43.6,"baseline"
"DRC",85,"with_conflict_mid",28.5939968404423,29.7343440360088,45.2,"baseline"
"DRC",86,"with_conflict_hi",25.7751937984496,29.8938787405942,38.3,"baseline"
"DRC",86,"with_conflict_lo",23.75,29.524695128388,42.7,"baseline"
"DRC",86,"with_conflict_mid",34.5864661654135,35.0989023100884,26.1,"baseline"
"DRC",87,"with_conflict_hi",40.3846153846154,38.4354119596513,31,"baseline"
"DRC",87,"with_conflict_lo",18.2481751824818,24.4947102103615,33.6,"baseline"
"DRC",87,"with_conflict_mid",26.4462809917355,32.5636334547777,35.6,"baseline"
"DRC",88,"with_conflict_hi",23.6238532110092,29.9436794846649,33.3,"baseline"
"DRC",88,"with_conflict_lo",24.0105540897098,23.2214288684087,28.8,"baseline"
"DRC",88,"with_conflict_mid",27.6923076923077,29.0759514312836,28.2,"baseline"
"DRC",89,"with_conflict_hi",31.3411078717201,38.7611548094102,47.1,"baseline"
"DRC",89,"with_conflict_lo",24.2805755395683,29.585009517049,42.1,"baseline"
"DRC",89,"with_conflict_mid",24.5083207261725,26.6874340544363,49.9,"baseline"
"DRC",90,"with_conflict_hi",34.4827586206897,37.2613697670126,17.1,"baseline"
"DRC",90,"with_conflict_lo",23.961661341853,24.156176637032,23.8,"baseline"
"DRC",90,"with_conflict_mid",25.3180661577608,28.1860418550797,58.7,"baseline"
"DRC",91,"with_conflict_hi",21.980198019802,26.5088350239468,39.4,"baseline"
"DRC",91,"with_conflict_lo",23.5294117647059,24.3166598012431,42.9,"baseline"
"DRC",91,"with_conflict_mid",28.8888888888889,29.5441121229845,19.2,"baseline"
"DRC",92,"with_conflict_hi",30.9931506849315,35.5746364069988,40.3,"baseline"
"DRC",92,"with_conflict_lo",29.4372294372294,29.5261323141448,32.6,"baseline"
"DRC",92,"with_conflict_mid",28.5714285714286,25.1904487231908,26,"baseline"
"DRC",93,"with_conflict_hi",24.0740740740741,33.1319808351079,57.4,"baseline"
"DRC",93,"with_conflict_lo",18.1233933161954,22.6860299591035,63.7,"baseline"
"DRC",93,"with_conflict_mid",35.1617440225035,38.1644654468462,46.1,"baseline"
"DRC",94,"with_conflict_hi",25.518341307815,29.0816460901625,46.7,"baseline"
"DRC",94,"with_conflict_lo",15.5813953488372,20.6960715069649,36.3,"baseline"
"DRC",94,"with_conflict_mid",28.2970550576184,32.4139645032048,56,"baseline"
"DRC",95,"with_conflict_hi",32.2327044025157,27.6759762110934,43.1,"baseline"
"DRC",95,"with_conflict_lo",24.5014245014245,23.7167398932235,53,"baseline"
"DRC",95,"with_conflict_mid",33.1941544885177,29.2449031525766,32,"baseline"
"DRC",96,"with_conflict_hi",33.9793281653747,37.9053757331349,51.1,"baseline"
"DRC",96,"with_conflict_lo",25.9113300492611,27.723299359412,75.2,"baseline"
"DRC",96,"with_conflict_mid",20.3311867525299,25.3496797587662,86.6,"baseline"
"DRC",97,"with_conflict_hi",27.4907749077491,29.7347310669351,39.3,"baseline"
"DRC",97,"with_conflict_lo",26.0127931769723,22.971776452686,34.7,"baseline"
"DRC",97,"with_conflict_mid",19.3798449612403,26.08315726896,52,"baseline"
"DRC",98,"with_conflict_hi",22.72,30.9649160839503,96.6,"baseline"
"DRC",98,"with_conflict_lo",18.4977578475336,24.4919073003205,72.7,"baseline"
"DRC",98,"with_conflict_mid",22.4037339556593,33.4599865799016,66.5,"baseline"
"DRC",99,"with_conflict_hi",37.8623188405797,37.3745172655697,34.3,"baseline"
"DRC",99,"with_conflict_lo",25.4054054054054,24.1335638607011,55.2,"baseline"
"DRC",99,"with_conflict_mid",21.6599190283401,28.5724625095443,77.4,"baseline"
"DRC",100,"with_conflict_hi",29.2116182572614,35.0792725479668,85.3,"baseline"
"DRC",100,"with_conflict_lo",25.3521126760563,29.7883227158517,84.8,"baseline"
"DRC",100,"with_conflict_mid",22.9493891797557,31.3933425876254,88.3,"baseline"
"DRC",101,"with_conflict_hi",22.5075528700906,29.2523416724067,51.3,"baseline"
"DRC",101,"with_conflict_lo",24.2718446601942,31.0515312461434,39,"baseline"
"DRC",101,"with_conflict_mid",38.855421686747,40.9142244775516,40.6,"baseline"
"DRC",102,"with_conflict_hi",31.9209039548023,32.9608488646026,48.2,"baseline"
"DRC",102,"with_conflict_lo",19.8250728862974,23.6339919108877,55,"baseline"
"DRC",102,"with_conflict_mid",17.3120728929385,22.680273369108,36.3,"baseline"
"DRC",103,"with_conflict_hi",29.1666666666667,30.6745927322867,40.8,"baseline"
"DRC",103,"with_conflict_lo",38.0352644836272,33.4328923284254,24.6,"baseline"
"DRC",103,"with_conflict_mid",33.0783938814532,31.5175967884704,35,"baseline"
"DRC",104,"with_conflict_hi",31.4285714285714,28.7859254231617,16.8,"baseline"
"DRC",104,"with_conflict_lo",21.7322834645669,24.3152556694561,49.7,"baseline"
"DRC",104,"with_conflict_mid",29.6385542168675,28.913213778836,29.2,"baseline"
"DRC",105,"with_conflict_hi",26.984126984127,30.0494726693066,64.4,"baseline"
"DRC",105,"with_conflict_lo",19.8932926829268,20.1265972786815,105.1,"baseline"
"DRC",105,"with_conflict_mid",30.3605313092979,34.8738081299152,36.7,"baseline"
"DRC",106,"with_conflict_hi",25.8852258852259,27.4068798530824,60.7,"baseline"
"DRC",106,"with_conflict_lo",21.0017574692443,24.4665711090379,89.9,"baseline"
"DRC",106,"with_conflict_mid",23.3812949640288,28.2087986981675,85.2,"baseline"
"DRC",107,"with_conflict_hi",25.5360623781676,31.5458970280484,38.2,"baseline"
"DRC",107,"with_conflict_lo",23.2014388489209,29.4011254699336,42.7,"baseline"
"DRC",107,"with_conflict_mid",29.553264604811,33.9789750382164,20.5,"baseline"
