"scenario","policy","dpc","stockpile_doses","deaths_averted_med","deaths_averted_lo","deaths_averted_hi","pct_averted_med","pct_averted_lo","pct_averted_hi","supply_ratio_med"
"WestAfrica","A",0,51000,324.017094719142,166.53737587534,498.788704259518,78.8953768934737,44.2729780655126,82.3423366503537,2.21642805877687
"WestAfrica","A",0,52000,329.369346601415,167.772510925096,504.346811983417,80.2175284203318,45.1255015385368,82.3423366503537,2.25988743247837
"WestAfrica","A",0,53000,333.486463433932,167.772510925096,508.052217132682,81.8499763498852,45.9580258747415,82.3423366503537,2.30334680617988
"WestAfrica","A",0,54000,335.545021850191,168.595934291599,515.463027431214,82.3423366503537,47.0251494613434,82.3423366503537,2.34680617988139
"WestAfrica","A",0,55000,337.60358026645,169.419357658103,522.256270204868,82.3423366503537,47.76770305169,82.3423366503537,2.3902655535829
"WestAfrica","A",0,56000,338.838715316205,171.272060232736,527.402666245515,82.3423366503537,48.593299236713,82.3423366503537,2.4337249272844
"WestAfrica","A",0,57000,338.838715316205,171.272060232736,533.784197335918,82.3423366503537,49.4353896818553,82.3423366503537,2.47718430098591
"WestAfrica","A",0,58000,338.838715316205,171.272060232736,543.66527773396,82.3423366503537,50.292715522249,82.3423366503537,2.52064367468742
"WestAfrica","A",0,59000,341.720697098968,171.272060232736,548.605817932982,82.3423366503537,51.0617828887424,82.3423366503537,2.56410304838892
"WestAfrica","A",0,60000,345.837813931486,171.889627757613,550.252664665989,82.3423366503537,51.8852000627665,82.3423366503537,2.60756242209043
"WestAfrica","A",0,61000,352.836912546766,171.889627757613,550.252664665989,82.3423366503537,52.8057324407507,82.3423366503537,2.65102179579194
"WestAfrica","A",0,62000,356.542317696032,173.330618648995,553.958069815255,82.3423366503537,53.7232760676592,82.3423366503537,2.69448116949345
"WestAfrica","A",0,63000,356.542317696032,174.56575369875,559.722033380779,82.3423366503537,54.4713321101017,82.3423366503537,2.73794054319495
"WestAfrica","A",0,64000,358.60087611229,174.56575369875,566.926987837685,82.3423366503537,55.2675743803604,82.3423366503537,2.78139991689646
"WestAfrica","A",0,65000,363.12970462806,174.56575369875,569.397257937196,82.3423366503537,55.9636270651084,82.3423366503537,2.82485929059797
"WestAfrica","A",0,66000,368.481956510333,174.771609540376,573.102663086462,82.3423366503537,56.8536569928479,82.3423366503537,2.86831866429947
"WestAfrica","A",0,67000,373.422496709354,175.183321223628,576.808068235728,82.3423366503537,57.4315895987157,82.3423366503537,2.91177803800098
"WestAfrica","A",0,68000,379.186460274879,178.06530300639,582.160320118001,82.3423366503537,58.3900068233034,82.3423366503537,2.95523741170249
"WestAfrica","A",0,69000,383.715288790648,180.329717264275,587.7184278419,82.3423366503537,59.2613676000512,82.3423366503537,2.998696785404
"WestAfrica","A",0,70000,389.479252356173,181.770708155656,592.658968040921,82.3423366503537,60.1810215786947,82.3423366503537,3.0421561591055
"WestAfrica","A",0,71000,391.949522455684,183.005843205411,600.481490022704,82.3423366503537,61.0690339715875,82.3423366503537,3.08561553280701
"WestAfrica","A",0,72000,393.596369188691,183.623410730289,610.980137945625,82.3423366503537,61.7996788680858,82.3423366503537,3.12907490650852
"WestAfrica","A",0,73000,394.008080871943,183.829266571915,615.097254778142,82.3423366503537,62.6334278642113,82.3423366503537,3.17253428021003
"WestAfrica","A",0,74000,395.65492760495,185.681969146548,618.18509240253,82.3423366503537,63.3444674304694,82.3423366503537,3.21599365391153
"WestAfrica","A",0,75000,396.478350971453,188.152239246058,621.067074185293,82.3423366503537,64.1375138897131,82.3423366503537,3.25945302761304
"WestAfrica","A",0,76000,398.536909387712,191.240076870447,623.331488443178,82.3423366503537,64.8956499119032,82.3423366503537,3.30291240131455
