"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted"
"DRC",122,"optimistic_mid",0,318.918979155526,8,8,1737.87281416002,100,81.6488884251479
"DRC",122,"with_conflict_hi",175,33629.8787197778,26,201,44688.3647853627,12.9353233830846,24.745783647933
"DRC",122,"with_conflict_lo",11,2065.56624986298,5,16,2756.30593798692,31.25,25.0603417641086
"DRC",122,"with_conflict_mid",50.3333333333333,31090.0073698994,60,211,48343.9067478986,28.436018957346,35.6899153144035
"DRC",123,"cov_conflict_hi",69.1,336859.421280372,278,969,483373.439296943,28.6893704850361,30.3107299874962
"DRC",123,"cov_conflict_lo",52.4,178281.175655892,216,740,257802.488606724,29.1891891891892,30.8458282852891
"DRC",123,"cov_conflict_mid",70.9,224925.099957586,241,950,336799.703966127,25.3684210526316,33.2169543770717
"DRC",123,"dpc_conflict_hi",22.5,101369.240573305,287,512,225456.15309564,56.0546875,55.0381574503741
"DRC",123,"dpc_conflict_lo",33,156778.712147284,335,665,302439.727539348,50.3759398496241,48.1619979548202
"DRC",123,"dpc_conflict_mid",31.7,120617.078512756,435,752,254036.065153001,57.8457446808511,52.5197028854504
"DRC",123,"no_pep",72.3,197362.173929872,0,723,197362.173929872,0,0
"DRC",123,"optimistic_hi",16.6,54912.5323960597,789,955,332706.179485328,82.6178010471204,83.4951871104392
"DRC",123,"optimistic_lo",11.2,37148.8977424414,613,725,221030.107688015,84.551724137931,83.1928337134607
"DRC",123,"optimistic_mid",13.1,63276.8124573852,559,690,298703.428994116,81.0144927536232,78.8161747354324
"DRC",123,"with_conflict_hi",33.8,170376.593480396,178,516,267036.471839475,34.4961240310078,36.1972571361655
"DRC",123,"with_conflict_lo",55,207417.203572127,162,712,266839.037183785,22.752808988764,22.2687932915645
"DRC",123,"with_conflict_mid",56.5,151159.862946244,150,715,213804.554353847,20.979020979021,29.2999798797205
"DRC",124,"cov_conflict_hi",2,763.33972000434,1,3,908.769991762279,33.3333333333333,16.0029790900029
"DRC",124,"cov_conflict_lo",25,9342.18267826365,11,36,14762.6154022857,30.5555555555556,36.7172928123753
"DRC",124,"cov_conflict_mid",16,7539.88431938601,11,27,11819.2840948969,40.7407407407407,36.2069287881706
"DRC",124,"dpc_conflict_hi",28,13356.3643021398,51,79,35392.3858022647,64.5569620253165,62.2620402683191
"DRC",124,"dpc_conflict_lo",13,6939.03393877675,11,24,11643.099817047,45.8333333333333,40.4021777034231
"DRC",124,"dpc_conflict_mid",78,45935.6142416341,116,194,107637.898106783,59.7938144329897,57.3239397558069
"DRC",124,"no_pep",67.5,103745.375280841,0,135,103745.375280841,0,0
