"scenario","arm","week","metric","q025","q25","q50","q75","q975"
"DRC","optimistic_hi",9.5,"infections",8,38,64.5,99.25,240.15
"DRC","optimistic_hi",10.5,"deaths",4.975,20.75,34,55,121.025
"DRC","optimistic_hi",10.5,"hcw_deaths",0,0,1,1,3.02500000000001
"DRC","optimistic_hi",10.5,"hcw_deaths_incidence",0,0,0,0,1.02500000000001
"DRC","optimistic_hi",10.5,"infections",9.975,44,73,116,261.1
"DRC","optimistic_hi",11.5,"deaths",4,22,38.5,62.25,149.025
"DRC","optimistic_hi",11.5,"hcw_deaths",0,0,1,2,4
"DRC","optimistic_hi",11.5,"hcw_deaths_incidence",0,0,0,0,2
"DRC","optimistic_hi",11.5,"infections",8,45,73,116,281.15
"DRC","optimistic_hi",12.5,"deaths",7,25.75,43.5,67.25,153.2
"DRC","optimistic_hi",12.5,"hcw_deaths",0,0,1,2,5
"DRC","optimistic_hi",12.5,"hcw_deaths_incidence",0,0,0,0,2
"DRC","optimistic_hi",12.5,"infections",7.975,38,69,102.25,249.425
"DRC","optimistic_hi",13.5,"deaths",5,23,41,63.25,151.15
"DRC","optimistic_hi",13.5,"hcw_deaths",0,0,1,2,6
"DRC","optimistic_hi",13.5,"hcw_deaths_incidence",0,0,0,0,2
"DRC","optimistic_hi",13.5,"infections",6.95,38,57,100,238.25
"DRC","optimistic_hi",14.5,"deaths",5.95,21,36,59,146
"DRC","optimistic_hi",14.5,"hcw_deaths",0,1,1,3,6.02500000000001
"DRC","optimistic_hi",14.5,"hcw_deaths_incidence",0,0,0,0,2
"DRC","optimistic_hi",14.5,"infections",2.975,31,54,89.5,212.075
"DRC","optimistic_hi",15.5,"deaths",3,20.75,35,55,135.1
"DRC","optimistic_hi",15.5,"hcw_deaths",0,1,2,3,7
"DRC","optimistic_hi",15.5,"hcw_deaths_incidence",0,0,0,0,2
"DRC","optimistic_hi",15.5,"infections",3,25,46.5,80.25,198.175
"DRC","optimistic_hi",16.5,"deaths",2.975,17.75,31.5,50,120.125
"DRC","optimistic_hi",16.5,"hcw_deaths",0,1,2,4,8
"DRC","optimistic_hi",16.5,"hcw_deaths_incidence",0,0,0,0,2
"DRC","optimistic_hi",16.5,"infections",3,22,47,68.25,171.1
"DRC","optimistic_hi",17.5,"deaths",1.975,14,26,44.25,110.125
